Dimension;Density;Algorithm;Num_Robots;Time;Overlapping
10;5;MSTC*;4;250,75483399593898;0,16272965879265092
10;5;TMSTC*;4;248,1274169979695;0,1679790026246719
10;5;MSTC*;2;445,2135641951595;0,07086614173228346
10;5;TMSTC*;2;446,3417027122553;0,07874015748031496
10;5;MSTC*;4;261,2555555150652;0,18635170603674542
10;5;TMSTC*;4;268,88441555128713;0,2099737532808399
10;5;MSTC*;2;456,26955262170077;0,09448818897637795
10;5;TMSTC*;2;431,1708513561276;0,06036745406824147
10;5;MSTC*;4;254,08326112068517;0,1732283464566929
10;5;TMSTC*;4;247,7562770341914;0,1679790026246719
10;5;MSTC*;2;452,4985569617476;0,08398950131233596
10;5;TMSTC*;2;450,1126983722081;0,07874015748031496
10;5;MSTC*;4;261,04199131990566;0,1968503937007874
10;5;TMSTC*;4;253,01327558750904;0,1889763779527559
10;5;MSTC*;2;445,72683978266883;0,07874015748031496
10;5;TMSTC*;2;452,8984126579224;0,09711286089238845
10;5;MSTC*;4;242,1701298370014;0,14960629921259844
10;5;TMSTC*;4;269,4256853520666;0,25196850393700787
10;5;MSTC*;2;441,99855696174785;0,06561679790026247
10;5;TMSTC*;2;446,96984122935095;0,08923884514435695
10;5;MSTC*;4;275,22756130179476;0,1889763779527559
10;5;TMSTC*;4;260,72683978266855;0,16272965879265092
10;5;MSTC*;2;451,3556998188905;0,08398950131233596
10;5;TMSTC*;2;444,01399710663526;0,08398950131233596
10;5;MSTC*;4;261,85497829976424;0,1889763779527559
10;5;TMSTC*;4;256,6274169979695;0,2204724409448819
10;5;MSTC*;2;432,5987012655729;0,047244094488188976
10;5;TMSTC*;2;441,41240976455794;0,07874015748031496
10;5;MSTC*;4;256,599422784699;0,16535433070866143
10;5;TMSTC*;4;268,1834054245104;0,2125984251968504
10;5;MSTC*;2;424,38513707041335;0,03674540682414698
10;5;TMSTC*;2;435,0132755875092;0,07086614173228346
10;5;MSTC*;4;238,17012983700144;0,12335958005249344
10;5;TMSTC*;4;271,6546896921137;0,23097112860892388
10;5;MSTC*;2;443,9271283903193;0,06561679790026247
10;5;TMSTC*;2;446,7408368893041;0,07874015748031496
10;5;MSTC*;4;254,8836940321609;0,1732283464566929
10;5;TMSTC*;4;276,9116882454314;0,26246719160104987
10;5;MSTC*;2;433,61341989133433;0,07086614173228346
10;5;TMSTC*;2;450,9985569617476;0,10236220472440945
10;5;MSTC*;4;260,92784990944523;0,1968503937007874
10;5;TMSTC*;4;266,2695526217004;0,2440944881889764
10;5;MSTC*;2;442,31370849898485;0,07611548556430446
10;5;TMSTC*;2;446,06998553317624;0,08661417322834646
10;5;MSTC*;4;267,1406925854785;0,1968503937007874
10;5;TMSTC*;4;242,5847041589376;0,14173228346456693
10;5;MSTC*;2;441,8129869798586;0,06824146981627296
10;5;TMSTC*;2;443,1554112112403;0,07611548556430446
10;5;MSTC*;4;250,81298697985855;0,1784776902887139
10;5;TMSTC*;4;268,4551226035895;0,2650918635170604
10;5;MSTC*;2;443,69884556939826;0,07611548556430446
10;5;TMSTC*;2;442,7128426760334;0,07611548556430446
10;5;MSTC*;4;256,0839826398114;0,2020997375328084
10;5;TMSTC*;4;248,94256853520665;0,16535433070866143
10;5;MSTC*;2;460,2268397826686;0,09448818897637795
10;5;TMSTC*;2;435,956565641842;0,08398950131233596
10;5;MSTC*;4;259,7128426760333;0,1942257217847769
10;5;TMSTC*;4;249,5559884265409;0,1968503937007874
10;5;MSTC*;2;449,26955262170054;0,08923884514435695
10;5;TMSTC*;2;447,98383833598626;0,08923884514435695
10;5;MSTC*;4;243,8122654607323;0,16535433070866143
10;5;TMSTC*;4;256,3129869798585;0,2047244094488189
10;5;MSTC*;2;432,01399710663526;0,06036745406824147
10;5;TMSTC*;2;425,19884556939826;0,047244094488188976
10;5;MSTC*;4;261,5854256780638;0,22572178477690288
10;5;TMSTC*;4;253,89913417704855;0,18110236220472442
10;5;MSTC*;2;427,47056274847716;0,04461942257217848
10;5;TMSTC*;2;436,64213562373095;0,07086614173228346
10;5;MSTC*;4;248,94040397782803;0,16535433070866143
10;5;TMSTC*;4;264,2135641951595;0,24934383202099739
10;5;MSTC*;2;433,19884556939815;0,05774278215223097
10;5;TMSTC*;2;432,0279942132706;0,07086614173228346
10;5;MSTC*;4;255,44112549695424;0,2020997375328084
10;5;TMSTC*;4;262,19884556939803;0,2204724409448819
10;5;MSTC*;2;436,6848484627629;0,06561679790026247
10;5;TMSTC*;2;428,74155840843;0,049868766404199474
10;5;MSTC*;4;261,62669547884326;0,2020997375328084
10;5;TMSTC*;4;247,94184701608046;0,1679790026246719
10;5;MSTC*;2;449,26955262170054;0,08923884514435695
10;5;TMSTC*;2;446,27099565995286;0,09973753280839895
10;5;MSTC*;4;247,81226546073233;0,15748031496062992
10;5;TMSTC*;4;256,3129869798585;0,2152230971128609
10;5;MSTC*;2;450,4845598551124;0,09448818897637795
10;5;TMSTC*;2;430,87113996377815;0,07349081364829396
10;5;MSTC*;4;248,35569981889043;0,1732283464566929
10;5;TMSTC*;4;262,9992784808738;0,15748031496062992
10;5;MSTC*;2;431,25627703419156;0,04461942257217848
10;5;TMSTC*;2;443,6995670885243;0,09711286089238845
10;5;MSTC*;4;247,59870126557283;0,16272965879265092
10;5;TMSTC*;4;264,26883110257427;0,23097112860892388
10;5;MSTC*;2;463,46911971022513;0,10498687664041995
10;5;TMSTC*;2;426,48455985511254;0,047244094488188976
10;5;MSTC*;4;251,24227992755615;0,1679790026246719
10;5;TMSTC*;4;264,9551226035895;0,2440944881889764
10;5;MSTC*;2;431,4705627484772;0,05774278215223097
10;5;TMSTC*;2;443,6126983722081;0,07611548556430446
10;5;MSTC*;4;251,7989898732233;0,1679790026246719
10;5;TMSTC*;4;250,69884556939806;0,1679790026246719
10;15;MSTC*;2;408,8277056056201;0,07331378299120235
10;15;TMSTC*;2;424,5412698007798;0,12023460410557185
10;15;MSTC*;4;245,3844155512871;0,20234604105571846
10;15;TMSTC*;4;247,68412694363664;0,20821114369501467
10;15;MSTC*;2;403,2709956599529;0,07331378299120235
10;15;TMSTC*;2;422,52655117501814;0,12023460410557185
10;15;MSTC*;4;225,69956708852428;0,15835777126099707
10;15;TMSTC*;4;233,48383833598612;0,17595307917888564
